gene,group,group number
1110038B12Rik,1hr,1
1810030O07Rik,1hr,1
2010111I01Rik,1hr,1
5031439G07Rik,1hr,1
Abca5,1hr,1
Abhd2,1hr,1
Actg1,1hr,1
Actn4,1hr,1
Adora1,1hr,1
Ago3,1hr,1
Ankrd17,1hr,1
Arf4,1hr,1
Arhgef3,1hr,1
Arhgef7,1hr,1
Arl5b,1hr,1
Atf4,1hr,1
Atp6v0d1,1hr,1
Atxn7,1hr,1
Azin1,1hr,1
B830012L14Rik,1hr,1
Brd2,1hr,1
Btbd3,1hr,1
Calu,1hr,1
Cap1,1hr,1
Casc4,1hr,1
Ccl27a,1hr,1
Cct2,1hr,1
Cdkn1a,1hr,1
Chga,1hr,1
Ciapin1,1hr,1
Crem,1hr,1
Cry2,1hr,1
Csnk1a1,1hr,1
Csrnp1,1hr,1
Cwc25,1hr,1
Cystm1,1hr,1
Cyth3,1hr,1
Dcun1d4,1hr,1
Ddhd1,1hr,1
Dleu2,1hr,1
Dnajb1,1hr,1
Dnajb9,1hr,1
Dpysl5,1hr,1
Dstn,1hr,1
Dusp6,1hr,1
Dyrk1a,1hr,1
Ece1,1hr,1
Egr1,1hr,1
Egr2,1hr,1
Egr3,1hr,1
Egr4,1hr,1
Eif5,1hr,1
Eml4,1hr,1
Eprs,1hr,1
Errfi1,1hr,1
Etv3,1hr,1
Ext1,1hr,1
Fam107b,1hr,1
Fbxo33,1hr,1
Flcn,1hr,1
Flna,1hr,1
Fos,1hr,1
Fosb,1hr,1
Frmd6,1hr,1
Gabbr1,1hr,1
Gad1,1hr,1
Gltscr2,1hr,1
Gm10558,1hr,1
Gm11531,1hr,1
Gm11655,1hr,1
Gm12276,1hr,1
Gm13349,1hr,1
Gm13389,1hr,1
Gm13889,1hr,1
Gm15421,1hr,1
Gm15425,1hr,1
Gm15661,1hr,1
Gm16111,1hr,1
Gm17212,1hr,1
Gm17214,1hr,1
Gm22859,1hr,1
Gm23347,1hr,1
Gm23474,1hr,1
Gm24989,1hr,1
Gm26906,1hr,1
Gm9017,1hr,1
Gm9806,1hr,1
Gpr19,1hr,1
Gprasp1,1hr,1
Grk6,1hr,1
Hbb-bs,1hr,1
Hmga1,1hr,1
Hmgcr,1hr,1
Hnrnpll,1hr,1
Hsf2,1hr,1
Hsp90b1,1hr,1
Hspa14,1hr,1
Hspa4,1hr,1
Hspa8,1hr,1
Ier5,1hr,1
Ina,1hr,1
Ipo5,1hr,1
Iqsec3,1hr,1
Ivns1abp,1hr,1
Jmjd1c,1hr,1
Jund,1hr,1
Kcnf1,1hr,1
Kcnj6,1hr,1
Kctd12,1hr,1
Kdm6b,1hr,1
Kdm7a,1hr,1
Kif1a,1hr,1
Kitl,1hr,1
Klf10,1hr,1
Lincpint,1hr,1
Lonp2,1hr,1
Mapre1,1hr,1
Mast4,1hr,1
Mat2a,1hr,1
Mbd2,1hr,1
Mbnl1,1hr,1
Mbnl2,1hr,1
Mcl1,1hr,1
Med13,1hr,1
Med14,1hr,1
Med7,1hr,1
Mest,1hr,1
Mfsd2a,1hr,1
Mgrn1,1hr,1
Mia3,1hr,1
Micu1,1hr,1
Midn,1hr,1
Mir132,1hr,1
Mir1982,1hr,1
Mir410,1hr,1
Mkl1,1hr,1
Mknk2,1hr,1
Mn1,1hr,1
Myc,1hr,1
Myh9,1hr,1
Nab2,1hr,1
Ndel1,1hr,1
Nolc1,1hr,1
Npas4,1hr,1
Nr4a2,1hr,1
Nr4a3,1hr,1
Nrd1,1hr,1
Nrip3,1hr,1
Oat,1hr,1
Oaz1,1hr,1
Osbpl6,1hr,1
Otud5,1hr,1
Otud7a,1hr,1
Ovca2,1hr,1
Pcsk1,1hr,1
Pde4a,1hr,1
Pde7b,1hr,1
Per1,1hr,1
Pex12,1hr,1
Pgam1,1hr,1
Phf21b,1hr,1
Phxr4,1hr,1
Pja1,1hr,1
Plagl1,1hr,1
Pmepa1,1hr,1
Ppp1r15b,1hr,1
Prickle2,1hr,1
Prkab2,1hr,1
Psme4,1hr,1
Pttg1ip,1hr,1
Pvr,1hr,1
Qk,1hr,1
Rab6b,1hr,1
Ralgapa1,1hr,1
Ranbp2,1hr,1
Rap1b,1hr,1
Rapgef6,1hr,1
Rasl11a,1hr,1
Rbm12b1,1hr,1
Rbm15,1hr,1
Rgs7bp,1hr,1
Rian,1hr,1
Rnf128,1hr,1
Rpl17-ps8,1hr,1
Rpl21,1hr,1
Rpl22l1,1hr,1
Rpl41,1hr,1
Rprml,1hr,1
Rpsa,1hr,1
Rpsa-ps10,1hr,1
Rrp1b,1hr,1
Rwdd4a,1hr,1
Ryr1,1hr,1
Sat1,1hr,1
Sertad1,1hr,1
Sertad2,1hr,1
Sf3b1,1hr,1
Sfpq,1hr,1
Sik1,1hr,1
Sik3,1hr,1
Skil,1hr,1
Slc16a1,1hr,1
Slc26a10,1hr,1
Slc2a1,1hr,1
Slc2a3,1hr,1
Slc7a1,1hr,1
Smad7,1hr,1
Smarca5,1hr,1
Smg7,1hr,1
Smim14,1hr,1
Spsb1,1hr,1
Sptbn2,1hr,1
Sra1,1hr,1
Srrm4,1hr,1
Srsf5,1hr,1
Srsf6,1hr,1
Srsf7,1hr,1
Stk40,1hr,1
Stx4a,1hr,1
Stxbp5l,1hr,1
Suco,1hr,1
Sult4a1,1hr,1
Syngr3,1hr,1
Syt4,1hr,1
Tfg,1hr,1
Tgfb2,1hr,1
Tinf2,1hr,1
Tiparp,1hr,1
Top1,1hr,1
Tpp2,1hr,1
Tra2a,1hr,1
Tsc22d2,1hr,1
Tuba4a,1hr,1
Txlng,1hr,1
Uba1,1hr,1
Ubc,1hr,1
Ube2g1,1hr,1
Unc13d,1hr,1
Usp36,1hr,1
Vcl,1hr,1
Wasl,1hr,1
Ybx1,1hr,1
Ywhag,1hr,1
Zbtb1,1hr,1
Zbtb16,1hr,1
Zdbf2,1hr,1
Zfp51,1hr,1
Zfp655,1hr,1
Zfp871,1hr,1
Zfp948,1hr,1
Zswim6,1hr,1
Zwint,1hr,1
1700016P03Rik,1hr_4hr_and_5hr,5
Abr,1hr_4hr_and_5hr,5
Acap2,1hr_4hr_and_5hr,5
Ago2,1hr_4hr_and_5hr,5
Ap2b1,1hr_4hr_and_5hr,5
Arc,1hr_4hr_and_5hr,5
Asb11,1hr_4hr_and_5hr,5
Atf3,1hr_4hr_and_5hr,5
Bdnf,1hr_4hr_and_5hr,5
Blmh,1hr_4hr_and_5hr,5
Brinp1,1hr_4hr_and_5hr,5
Calr,1hr_4hr_and_5hr,5
Ccnt2,1hr_4hr_and_5hr,5
Chgb,1hr_4hr_and_5hr,5
Cltb,1hr_4hr_and_5hr,5
Dlgap4,1hr_4hr_and_5hr,5
Dnajb5,1hr_4hr_and_5hr,5
Dnajc1,1hr_4hr_and_5hr,5
Dot1l,1hr_4hr_and_5hr,5
Dtna,1hr_4hr_and_5hr,5
Eef2,1hr_4hr_and_5hr,5
Efhd2,1hr_4hr_and_5hr,5
Elmo1,1hr_4hr_and_5hr,5
Epha10,1hr_4hr_and_5hr,5
Epha7,1hr_4hr_and_5hr,5
Exosc2,1hr_4hr_and_5hr,5
Fam126b,1hr_4hr_and_5hr,5
Fbxw7,1hr_4hr_and_5hr,5
Fmnl1,1hr_4hr_and_5hr,5
Fscn1,1hr_4hr_and_5hr,5
Gadd45b,1hr_4hr_and_5hr,5
Galnt9,1hr_4hr_and_5hr,5
Gm2606,1hr_4hr_and_5hr,5
Gpr3,1hr_4hr_and_5hr,5
Gtpbp2,1hr_4hr_and_5hr,5
H2-T23,1hr_4hr_and_5hr,5
Hpcal4,1hr_4hr_and_5hr,5
Hsd17b12,1hr_4hr_and_5hr,5
Hsph1,1hr_4hr_and_5hr,5
Ifrd1,1hr_4hr_and_5hr,5
Inhba,1hr_4hr_and_5hr,5
Kcna4,1hr_4hr_and_5hr,5
Lingo1,1hr_4hr_and_5hr,5
Lmo7,1hr_4hr_and_5hr,5
Mapk4,1hr_4hr_and_5hr,5
Mir22hg,1hr_4hr_and_5hr,5
Mt2,1hr_4hr_and_5hr,5
Neat1,1hr_4hr_and_5hr,5
Nptx2,1hr_4hr_and_5hr,5
Npy,1hr_4hr_and_5hr,5
Nrn1,1hr_4hr_and_5hr,5
Nrp1,1hr_4hr_and_5hr,5
Nrp2,1hr_4hr_and_5hr,5
Ntrk2,1hr_4hr_and_5hr,5
P4ha1,1hr_4hr_and_5hr,5
Pak6,1hr_4hr_and_5hr,5
Pcdh8,1hr_4hr_and_5hr,5
Pcgf2,1hr_4hr_and_5hr,5
Pde4dip,1hr_4hr_and_5hr,5
Pdgfa,1hr_4hr_and_5hr,5
Per2,1hr_4hr_and_5hr,5
Pip5k1a,1hr_4hr_and_5hr,5
Plk2,1hr_4hr_and_5hr,5
Polr2l,1hr_4hr_and_5hr,5
Ppan,1hr_4hr_and_5hr,5
Ppp1r16b,1hr_4hr_and_5hr,5
Prorsd1,1hr_4hr_and_5hr,5
Prpf38b,1hr_4hr_and_5hr,5
Ptgs2,1hr_4hr_and_5hr,5
Ptprn,1hr_4hr_and_5hr,5
Pvrl3,1hr_4hr_and_5hr,5
R3hdm1,1hr_4hr_and_5hr,5
Rab11fip3,1hr_4hr_and_5hr,5
Rbbp7,1hr_4hr_and_5hr,5
Rfwd2,1hr_4hr_and_5hr,5
Rnft1,1hr_4hr_and_5hr,5
Rpa1,1hr_4hr_and_5hr,5
Rtn4rl1,1hr_4hr_and_5hr,5
Scg2,1hr_4hr_and_5hr,5
Sec24a,1hr_4hr_and_5hr,5
Sgk1,1hr_4hr_and_5hr,5
Shank1,1hr_4hr_and_5hr,5
Ski,1hr_4hr_and_5hr,5
Slc6a8,1hr_4hr_and_5hr,5
Smap2,1hr_4hr_and_5hr,5
Snf8,1hr_4hr_and_5hr,5
Sox11,1hr_4hr_and_5hr,5
Spred2,1hr_4hr_and_5hr,5
Spry2,1hr_4hr_and_5hr,5
Srxn1,1hr_4hr_and_5hr,5
Sstr2,1hr_4hr_and_5hr,5
Stmn4,1hr_4hr_and_5hr,5
Sult2b1,1hr_4hr_and_5hr,5
Synpo,1hr_4hr_and_5hr,5
Tanc1,1hr_4hr_and_5hr,5
Tapbpl,1hr_4hr_and_5hr,5
Tet3,1hr_4hr_and_5hr,5
Tfdp1,1hr_4hr_and_5hr,5
Tmem198,1hr_4hr_and_5hr,5
Tmem2,1hr_4hr_and_5hr,5
Tpt1,1hr_4hr_and_5hr,5
Tpt1-ps3,1hr_4hr_and_5hr,5
Trim9,1hr_4hr_and_5hr,5
Vgf,1hr_4hr_and_5hr,5
Wipf3,1hr_4hr_and_5hr,5
Yipf5,1hr_4hr_and_5hr,5
Zdhhc5,1hr_4hr_and_5hr,5
1700029F12Rik,1hr_and_4hr,6
2810403A07Rik,1hr_and_4hr,6
Acad10,1hr_and_4hr,6
Aloxe3,1hr_and_4hr,6
Ankrd33b,1hr_and_4hr,6
Arid5b,1hr_and_4hr,6
Arl4d,1hr_and_4hr,6
Armcx3,1hr_and_4hr,6
Arpc2,1hr_and_4hr,6
Arpp19,1hr_and_4hr,6
Atp6v1b2,1hr_and_4hr,6
Bag3,1hr_and_4hr,6
Baiap2,1hr_and_4hr,6
Btg2,1hr_and_4hr,6
Bzw1,1hr_and_4hr,6
Capzb,1hr_and_4hr,6
Cdk11b,1hr_and_4hr,6
Cenpa,1hr_and_4hr,6
Cfl1,1hr_and_4hr,6
Cinp,1hr_and_4hr,6
Clstn3,1hr_and_4hr,6
Cltc,1hr_and_4hr,6
Cul9,1hr_and_4hr,6
Cx3cl1,1hr_and_4hr,6
Cyfip2,1hr_and_4hr,6
Dclk1,1hr_and_4hr,6
Dok5,1hr_and_4hr,6
Dusp4,1hr_and_4hr,6
Eif4a-ps4,1hr_and_4hr,6
Eif4a1,1hr_and_4hr,6
Eif5a,1hr_and_4hr,6
Ensa,1hr_and_4hr,6
Erc1,1hr_and_4hr,6
Fgfr1,1hr_and_4hr,6
Gabrb1,1hr_and_4hr,6
Gadd45g,1hr_and_4hr,6
Gak,1hr_and_4hr,6
Glce,1hr_and_4hr,6
Gm22904,1hr_and_4hr,6
Gm27000,1hr_and_4hr,6
Gm3272,1hr_and_4hr,6
Gm4617,1hr_and_4hr,6
Gpr22,1hr_and_4hr,6
Gramd1b,1hr_and_4hr,6
Hax1,1hr_and_4hr,6
Hnrnpa2b1,1hr_and_4hr,6
Homer1,1hr_and_4hr,6
Hsp90aa1,1hr_and_4hr,6
Hspa5,1hr_and_4hr,6
Inpp5f,1hr_and_4hr,6
Ippk,1hr_and_4hr,6
Jun,1hr_and_4hr,6
Junb,1hr_and_4hr,6
Kcna1,1hr_and_4hr,6
Kcnj4,1hr_and_4hr,6
Kpna1,1hr_and_4hr,6
Kpnb1,1hr_and_4hr,6
Lrrc8a,1hr_and_4hr,6
Mapk10,1hr_and_4hr,6
Mgat4a,1hr_and_4hr,6
Mirg,1hr_and_4hr,6
Morf4l2,1hr_and_4hr,6
Mt1,1hr_and_4hr,6
Myl6,1hr_and_4hr,6
Ncs1,1hr_and_4hr,6
Nefl,1hr_and_4hr,6
Nefm,1hr_and_4hr,6
Nhp2l1,1hr_and_4hr,6
Nr4a1,1hr_and_4hr,6
Nup50,1hr_and_4hr,6
Osgin2,1hr_and_4hr,6
Pdia6,1hr_and_4hr,6
Pfn1,1hr_and_4hr,6
Pno1,1hr_and_4hr,6
Ppme1,1hr_and_4hr,6
Prdx5,1hr_and_4hr,6
Prosc,1hr_and_4hr,6
Psma3,1hr_and_4hr,6
Ptma,1hr_and_4hr,6
Ptp4a2,1hr_and_4hr,6
Ptpn12,1hr_and_4hr,6
Rab11a,1hr_and_4hr,6
Rasd1,1hr_and_4hr,6
Rasl11b,1hr_and_4hr,6
Rgs2,1hr_and_4hr,6
Rheb,1hr_and_4hr,6
Rnf19a,1hr_and_4hr,6
Samd4,1hr_and_4hr,6
Saraf,1hr_and_4hr,6
Schip1,1hr_and_4hr,6
Sec61a2,1hr_and_4hr,6
07-Sep,1hr_and_4hr,6
Slc25a3,1hr_and_4hr,6
Slc6a17,1hr_and_4hr,6
Slc6a6,1hr_and_4hr,6
Smyd4,1hr_and_4hr,6
Snora31,1hr_and_4hr,6
Synj1,1hr_and_4hr,6
Tacc1,1hr_and_4hr,6
Tmem178,1hr_and_4hr,6
Trp53bp1,1hr_and_4hr,6
Tspan31,1hr_and_4hr,6
Txnl1,1hr_and_4hr,6
Wdr1,1hr_and_4hr,6
Zc3h15,1hr_and_4hr,6
B230319C09Rik,1hr_and_5hr,7
Baz1a,1hr_and_5hr,7
BC005537,1hr_and_5hr,7
Dmxl1,1hr_and_5hr,7
Fosl2,1hr_and_5hr,7
Gm14636,1hr_and_5hr,7
Gm17151,1hr_and_5hr,7
Gm3160,1hr_and_5hr,7
Gm8506,1hr_and_5hr,7
Herc2,1hr_and_5hr,7
Kcnj2,1hr_and_5hr,7
Map2,1hr_and_5hr,7
Pim1,1hr_and_5hr,7
Prdm10,1hr_and_5hr,7
Rangap1,1hr_and_5hr,7
Stat3,1hr_and_5hr,7
Trip12,1hr_and_5hr,7
2010300C02Rik,4hr,3
2610301B20Rik,4hr,3
A330009N23Rik,4hr,3
