"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.62646586744928e-241,1.80829339725087,0.394,0.041,4.54646003928098e-237,"0","PENK"
"2",1.22919832507588e-140,1.6866199959916,0.575,0.167,3.43597807808461e-136,"0","RGS4"
"3",5.37559931791821e-75,1.27769190352776,0.802,0.575,1.50264127733768e-70,"0","BDNF"
"4",1.05025300406311e-67,1.04081250679513,0.916,0.826,2.93577222225761e-63,"1","MEG3"
"5",6.22175681027429e-20,0.889864470007311,0.458,0.337,1.73916768117597e-15,"1","TIMP2"
"6",1.98388789594539e-18,0.760895552008212,0.568,0.503,5.54556183553614e-14,"1","ATP2B4"
"7",5.17234335812623e-48,0.541794753378246,1,0.777,1.44582513889703e-43,"2","COX7B"
"8",9.94706290195562e-64,0.530776344370576,1,0.961,2.78050249298365e-59,"2","ARPC2"
"9",6.39440802552652e-41,0.504117422773543,0.989,0.698,1.78742887537543e-36,"2","SLC25A5"
"10",1.55330573124936e-17,0.50665503219644,0.857,0.826,4.34195551056134e-13,"3","FKBP3"
"11",4.00091301285261e-09,0.501110040082105,0.459,0.42,0.000111837521448269,"3","EIF3I"
"12",2.25402806553297e-14,0.493481838765908,0.719,0.706,6.30068465158431e-10,"3","PFN1"
"13",3.735739034889e-73,0.718367357300283,0.998,0.859,1.04425113242252e-68,"4","RPLP1"
"14",1.18278242002158e-107,0.696630204306456,1,0.992,3.30623169868631e-103,"4","TMSB4X"
"15",5.25622873771708e-51,0.681618196064702,0.964,0.646,1.46927361905405e-46,"4","RPS26"
"16",2.05643053469895e-54,1.2654467520404,0.632,0.326,5.74834027364397e-50,"5","KCNQ1OT1"
"17",9.39897598484049e-151,1.21928484780396,1,0.999,2.62729575704246e-146,"5","MALAT1"
"18",5.5795278272257e-79,1.09936405300173,0.975,0.825,1.5596454135444e-74,"5","MEG3"
"19",8.32218702076299e-33,1.0353828797273,0.543,0.374,2.32630093791388e-28,"6","HMGB1"
"20",3.10998453480535e-21,0.942902930483682,0.505,0.384,8.69333977014139e-17,"6","LRRC58"
"21",1.69118319352657e-46,0.747814719223834,0.982,0.933,4.72736438086482e-42,"6","UBB"
"22",4.51832981948214e-32,0.534911227136817,0.793,0.427,1.26300873443984e-27,"7","GOLM1"
"23",2.85772545437258e-25,0.440614019989249,0.593,0.295,7.98819996260767e-21,"7","DSP"
"24",4.79759646603638e-27,0.421265465239416,0.987,0.815,1.34107214015115e-22,"7","EID1"
"25",2.83100829372267e-21,0.489667619215798,0.566,0.314,7.91351748344297e-17,"8","NME7"
"26",1.14005726774076e-14,0.454783892794497,0.743,0.506,3.18680208051575e-10,"8","RSBN1L"
"27",3.51205573147025e-14,0.43784835745949,0.44,0.251,9.81724938617878e-10,"8","HMGN5"
"28",7.59504463759892e-65,0.992433917065767,0.881,0.564,2.12304282754803e-60,"9","USMG5"
"29",5.84110872877626e-95,0.92996725646813,1,0.932,1.63276512295483e-90,"9","UBB"
"30",3.60499273396543e-47,0.860449469767238,0.695,0.37,1.00770361892536e-42,"9","HMGB1"
"31",3.6802617451764e-35,0.539457921248384,0.994,0.919,1.02874356562916e-30,"10","ZBTB20"
"32",4.86876578178831e-16,0.538529519827893,0.461,0.269,1.36096609898329e-11,"10","HRK"
"33",3.15562928264044e-15,0.471421205833717,0.738,0.536,8.82093053376481e-11,"10","SCN8A"
"34",6.8640677790914e-08,0.377023767688281,0.751,0.776,0.00191871286628942,"11","ROCK2"
"35",4.35674486563428e-17,0.33348239898194,1,0.999,1.21784089229075e-12,"11","MALAT1"
"36",9.99628330412921e-28,0.322145249654529,1,1,2.79426107200324e-23,"11","PPP3CA"
"37",2.20262018634588e-91,1.37649181506251,0.628,0.198,6.15698420689263e-87,"12","ID2"
"38",5.92983001136284e-74,1.26111302001853,0.905,0.578,1.65756538307626e-69,"12","ARPP21"
"39",7.8260541346467e-88,1.21356103046737,0.582,0.171,2.18761691225779e-83,"12","RGS4"
"40",8.80115040163555e-51,1.37746573670753,0.488,0.202,2.46018557176918e-46,"13","ID2"
"41",3.08851080554418e-89,1.31176507708145,0.299,0.048,8.63331425473764e-85,"13","PENK"
"42",8.57748093907187e-42,1.14555682200756,0.429,0.175,2.39766324689876e-37,"13","RGS4"
"43",2.25960067526522e-51,0.667649479008726,1,0.961,6.31626176756886e-47,"14","ARPC2"
"44",6.69424579721742e-23,0.604022236760973,0.858,0.702,1.87124252769619e-18,"14","PFN1"
"45",1.492072694052e-23,0.587193691668586,0.926,0.792,4.17079080168357e-19,"14","MPC2"
"46",0,2.30077489526775,0.57,0.041,0,"15","PENK"
"47",1.42491375895551e-73,1.46913224033677,0.797,0.379,3.98306143040833e-69,"15","RPRM"
"48",8.91256889391951e-100,1.45014803884153,0.953,0.577,2.49133038291732e-95,"15","ARPP21"
"49",2.09960303816878e-111,1.22468839046751,1,0.999,5.8690203725932e-107,"16","MALAT1"
"50",1.10744615265688e-26,1.17649960711106,0.551,0.33,3.09564423052177e-22,"16","KCNQ1OT1"
"51",7.26184083898658e-48,0.991095996887731,0.925,0.827,2.02990236972192e-43,"16","MEG3"
"52",1.08301543069564e-08,0.538824962843097,0.633,0.51,0.000302735303342353,"17","RSBN1L"
"53",3.09064793976658e-11,0.534178755106029,0.476,0.318,8.63928818602953e-07,"17","NME7"
"54",3.31839769481643e-16,0.486042111320868,0.279,0.123,9.27591707632036e-12,"17","GM20721"
"55",2.59798200208043e-08,0.497020633959508,0.566,0.454,0.000726213909041544,"18","RSRP1"
"56",0.00108564819955392,0.363647051551487,0.366,0.303,1,"18","DSP"
"57",2.3628726131927e-05,0.329074527405113,0.666,0.581,0.660493781565754,"18","PCDH19"
"58",3.41503936426148e-23,0.901417716968853,0.481,0.27,9.54605953492013e-19,"19","HRK"
"59",5.18831370437097e-27,0.745737765245004,0.841,0.694,1.45028932978282e-22,"19","ADCY1"
"60",8.95174715127461e-17,0.738351043701999,0.629,0.491,2.50228188119579e-12,"19","KDM7A"
"61",2.67318891774191e-43,0.912691261533319,0.929,0.766,7.47236498176397e-39,"20","RPS14"
"62",5.58807947820368e-26,0.798803066175216,0.836,0.69,1.56203585654227e-21,"20","RPS21"
"63",1.12288229562486e-27,0.748893718960251,0.832,0.645,3.13879288096016e-23,"20","SH3BGRL3"
"64",2.11607955658232e-41,0.757968380728862,0.928,0.531,5.91507718451456e-37,"21","RPL41"
"65",3.23701606559908e-37,0.729184583501327,0.921,0.565,9.04843100816911e-33,"21","USMG5"
"66",1.7823769532558e-37,0.709895047141405,0.924,0.592,4.98227829743594e-33,"21","MIF"
"67",3.58126559743548e-19,0.747256541378226,0.781,0.734,1.00107117245114e-14,"22","CHST1"
"68",1.03170466149951e-14,0.677604289772201,0.748,0.697,2.88392404028958e-10,"22","ADCY1"
"69",8.66506103667966e-05,0.653481642816817,0.391,0.334,1,"22","KCNQ1OT1"
"70",1.34842590249191e-08,0.51629709482944,0.296,0.167,0.000376925492523564,"23","OGN"
"71",4.16786916985859e-12,0.498101201669176,0.435,0.253,1.16504446905057e-07,"23","NRIP3"
"72",6.96607177325618e-13,0.481562326027544,0.755,0.571,1.9472260427783e-08,"23","ANKRD46"
"73",5.62977520714479e-24,0.626190236729095,0.66,0.329,1.57369106365318e-19,"24","KCNQ1OT1"
"74",1.4297796107927e-36,0.601032174813958,1,0.898,3.99666294604883e-32,"24","ATRX"
"75",2.71209463167904e-27,0.592396598476224,0.988,0.727,7.58111812393243e-23,"24","PRRC2C"
"76",9.25378845484336e-50,1.22552887073013,0.74,0.327,2.58671148678237e-45,"25","KCNQ1OT1"
"77",3.54712474245895e-53,1.00586200828275,0.992,0.826,9.91527779259549e-49,"25","MEG3"
"78",2.56266008422231e-49,0.935452074769636,1,0.912,7.16340373342662e-45,"25","MT-RNR1"
"79",9.62513556822496e-36,0.759428146806478,0.979,0.912,2.69051414538592e-31,"26","MT-RNR1"
"80",1.3604204274173e-16,0.685105687886197,0.756,0.612,3.80278322075958e-12,"26","ZBTB18"
"81",5.99770029910154e-08,0.660097710008236,0.487,0.386,0.00167653716460785,"26","LRRC58"
"82",2.48222102123742e-22,0.588138257992003,0.585,0.283,6.93855242066495e-18,"27","RPL38"
"83",1.70275369697293e-18,0.520320996214871,0.809,0.535,4.75970740914844e-14,"27","RPL41"
"84",3.79422288798582e-15,0.474828185662599,0.907,0.744,1.06059912387868e-10,"27","CFL1"
"85",1.19693959130127e-31,1.16065477419184,0.635,0.375,3.34580523956445e-27,"28","HMGB1"
"86",1.6555360582909e-63,1.07153906952515,0.991,0.933,4.62771994374055e-59,"28","UBB"
"87",1.76005204601155e-19,1.04122593349525,0.588,0.384,4.91987348421609e-15,"28","LRRC58"
"88",1.18817191488383e-56,0.972374507506371,0.996,0.657,3.32129695367477e-52,"29","MT3"
"89",1.86830042961613e-55,0.95444166715668,0.983,0.532,5.22246019090596e-51,"29","RPL41"
"90",1.01219783975042e-73,0.93303197162647,0.871,0.278,2.82939662145436e-69,"29","RPL38"
"91",2.35883692953248e-24,0.784155674559802,0.756,0.451,6.59365686912213e-20,"30","RSRP1"
"92",1.38082474679506e-24,0.586000440234788,0.978,0.825,3.85981941471622e-20,"30","FKBP3"
"93",4.51413771665813e-20,0.57370078451287,0.467,0.204,1.26183691593745e-15,"30","ID2"
"94",6.22158634969501e-29,0.757664485032205,0.947,0.827,1.73912003233025e-24,"31","MEG3"
"95",1.4599894641584e-08,0.711956720772665,0.48,0.333,0.000408110854916199,"31","KCNQ1OT1"
"96",1.81311966630719e-09,0.555120367691512,0.653,0.528,5.06821340322848e-05,"31","PTPRS"
"97",8.05687479810562e-34,0.783678556829722,0.972,0.747,2.25213821231446e-29,"32","ATP5C1"
"98",2.319860254806e-33,0.771299975929321,0.959,0.766,6.48470537025922e-29,"32","RPS14"
"99",6.7505856680618e-35,0.759520336661913,0.982,0.862,1.88699121179332e-30,"32","RPLP1"
"100",9.92310280269859e-48,0.708957905108759,1,0.961,2.77380492643834e-43,"33","ARPC2"
"101",1.90609373093827e-24,0.633054037105299,0.971,0.767,5.32810380609174e-20,"33","HPCA"
"102",3.73757844135423e-25,0.603447455640459,0.99,0.862,1.04476530171175e-20,"33","ARL6IP1"
"103",1.07930010243709e-46,1.17198164096859,0.754,0.334,3.01696757634239e-42,"34","TIMP2"
"104",1.22238903893671e-36,0.997924873351133,0.547,0.205,3.41694408053978e-32,"34","NR2F2"
"105",1.30130086549659e-53,0.959812088532881,0.389,0.085,3.63752630932263e-49,"34","WNT4"
"106",9.54417081328199e-10,0.749073880900093,0.48,0.339,2.66788206743672e-05,"35","TIMP2"
"107",4.56692155433872e-08,0.739771577658493,0.25,0.137,0.0012765915820843,"35","CD9"
"108",1.55299127566216e-06,0.624211369927791,0.296,0.191,0.0434107651285842,"35","RESP18"
"109",6.50922315031372e-09,0.585965394489395,0.59,0.454,0.000181952314720719,"36","RSRP1"
"110",0.00112041068514583,0.440641515096905,0.351,0.286,1,"36","TBRG1"
"111",0.00132823898156475,0.437091647299945,0.287,0.22,1,"36","COMMD6"
"112",5.99007951326019e-41,0.956706263989268,0.963,0.707,1.67440692634162e-36,"37","CRYM"
"113",2.99271737280201e-36,0.894240571321652,0.553,0.187,8.36554287219345e-32,"37","RESP18"
"114",2.63848786865485e-32,0.840123586395825,0.745,0.335,7.37536513925091e-28,"37","TIMP2"
"115",2.82582651134625e-26,0.608151079279249,1,0.912,7.89903284716617e-22,"38","MT-RNR1"
"116",1.17835090274917e-15,0.578612038068143,0.918,0.676,3.29384427845474e-11,"38","TPR"
"117",1.11754700207164e-13,0.48085230742326,0.913,0.676,3.12387913489086e-09,"38","ZEB2"
"118",3.84740801901082e-20,0.92526745411983,0.445,0.202,1.07546596355409e-15,"39","ZCCHC12"
"119",9.5267654696078e-28,0.920947271423209,0.527,0.215,2.66301675171947e-23,"39","GRP"
"120",3.44374015845668e-28,0.897936389815931,0.918,0.708,9.62628686493395e-24,"39","CRYM"
"121",1.88473693402699e-12,0.72507072043247,0.287,0.122,5.26840515168565e-08,"40","GRIN3A"
"122",2.24451045273222e-12,0.593134768719346,0.837,0.658,6.27408006852237e-08,"40","D430041D05RIK"
"123",1.5718337667471e-11,0.553837411818639,0.303,0.136,4.39374692818817e-07,"40","CD9"
"124",2.24490766721661e-41,1.08703765937552,0.92,0.535,6.27519040217058e-37,"41","RPL41"
"125",3.4966908231439e-36,0.950600150916819,0.937,0.594,9.77429985793415e-32,"41","MIF"
"126",2.06214405185448e-35,0.922739298605309,0.937,0.568,5.76431126814884e-31,"41","USMG5"
"127",1.27370880425748e-118,2.74891079919729,0.956,0.322,3.56039822054094e-114,"42","APOE"
"128",4.09600213697824e-81,2.22623586625776,0.975,0.57,1.14495547734953e-76,"42","CST3"
"129",7.83757848981139e-130,2.17533867286404,0.748,0.135,2.19083831525698e-125,"42","ALDOC"
"130",1.04790920648526e-05,0.705828517200795,0.38,0.261,0.292922060488826,"43","BC048546"
"131",0.00270874911296184,0.508535777312105,0.487,0.472,1,"43","ANK"
"132",0.00137130675614228,0.448221117225403,0.4,0.335,1,"43","DGKZ"
"133",2.09833030727878e-10,0.70459419543211,0.483,0.287,5.86546270793638e-06,"44","RPL38"
"134",7.38702905294681e-10,0.676856634026147,0.565,0.377,2.06489623117022e-05,"44","HMGB1"
"135",2.11030508177571e-12,0.573946548805167,0.884,0.722,5.89893579508763e-08,"44","ATP5K"
"136",4.37327785792842e-08,0.855670420488085,0.287,0.125,0.00122246235962673,"45","GM20721"
"137",3.32554152926373e-12,0.708227185758438,0.941,0.879,9.29588623675091e-08,"45","RBM25"
"138",4.02779425072173e-05,0.657888776178075,0.644,0.512,1,"45","RSBN1L"
"139",0,3.31941235416947,0.838,0.012,0,"46","INHBA"
"140",3.91414005924008e-61,2.87046519544302,0.95,0.312,1.09411957075938e-56,"46","LINGO1"
"141",2.90303376968615e-46,2.79765935658994,0.975,0.581,8.11485029640369e-42,"46","BDNF"
